test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
24,71,101,30,1720,4536
24,30,0,0,1720,4536
24,37,126,89,1720,4536
24,89,0,0,1720,4536
24,95,148,53,1720,4536
24,53,0,0,1720,4536
25,39,123,84,2454,1737
25,80,0,4,2454,1737
25,4,0,0,2454,1737
25,85,252,167,2454,1737
25,89,0,78,2454,1737
25,30,0,48,2454,1737
25,25,0,23,2454,1737
25,23,0,0,2454,1737
25,35,40,5,2454,1737
25,5,0,0,2454,1737
26,58,197,139,1188,2238
26,87,0,52,1188,2238
26,48,0,4,1188,2238
26,4,0,0,1188,2238
26,59,78,19,1188,2238
26,13,0,6,1188,2238
26,6,0,0,1188,2238
26,85,214,129,1188,2238
26,82,0,47,1188,2238
26,47,0,0,1188,2238
27,14,55,41,1415,2164
27,24,0,17,1415,2164
27,17,0,0,1415,2164
27,26,135,109,1415,2164
27,96,0,13,1415,2164
27,13,0,0,1415,2164
27,87,171,84,1415,2164
27,65,0,19,1415,2164
27,19,0,0,1415,2164
27,49,49,0,1415,2164
28,51,181,130,547,1020
28,19,0,111,547,1020
28,65,0,46,547,1020
28,44,0,2,547,1020
28,2,0,0,547,1020
28,58,199,141,547,1020
28,43,0,98,547,1020
28,79,0,19,547,1020
28,19,0,0,547,1020
28,79,79,0,547,1020
29,92,123,31,638,1989
29,18,0,13,638,1989
29,13,0,0,638,1989
29,99,200,101,638,1989
29,13,0,88,638,1989
29,65,0,23,638,1989
29,21,0,2,638,1989
29,2,0,0,638,1989
29,94,155,61,638,1989
29,61,0,0,638,1989
30,38,87,49,1415,1960
30,49,0,0,1415,1960
30,51,79,28,1415,1960
30,0,0,28,1415,1960
30,28,0,0,1415,1960
30,95,150,55,1415,1960
30,8,0,47,1415,1960
30,47,0,0,1415,1960
30,89,165,76,1415,1960
30,76,0,0,1415,1960
31,43,150,107,1436,2168
31,82,0,25,1436,2168
31,25,0,0,1436,2168
31,69,125,56,1436,2168
31,31,0,25,1436,2168
31,25,0,0,1436,2168
31,40,153,113,1436,2168
31,80,0,33,1436,2168
31,33,0,0,1436,2168
31,57,57,0,1436,2168
32,89,111,22,1746,1716
32,22,0,0,1746,1716
32,53,59,6,1746,1716
32,6,0,0,1746,1716
32,97,181,84,1746,1716
32,43,0,41,1746,1716
32,26,0,15,1746,1716
32,15,0,0,1746,1716
32,59,85,26,1746,1716
32,26,0,0,1746,1716
33,27,124,97,4188,2730
33,97,0,0,4188,2730
33,86,258,172,4188,2730
33,91,0,81,4188,2730
33,81,0,0,4188,2730
33,83,222,139,4188,2730
33,30,0,109,4188,2730
33,46,0,63,4188,2730
33,26,0,37,4188,2730
33,37,0,0,4188,2730
34,15,15,0,440,2380
34,66,66,0,440,2380
34,55,55,0,440,2380
34,64,73,9,440,2380
34,9,0,0,440,2380
34,100,100,0,440,2380
34,62,101,39,440,2380
34,32,0,7,440,2380
34,7,0,0,440,2380
34,49,49,0,440,2380
35,34,42,8,1782,1540
35,8,0,0,1782,1540
35,86,86,0,1782,1540
35,80,181,101,1782,1540
35,72,0,29,1782,1540
35,15,0,14,1782,1540
35,14,0,0,1782,1540
35,16,115,99,1782,1540
35,53,0,46,1782,1540
35,46,0,0,1782,1540
36,20,84,64,1062,1192
36,64,0,0,1062,1192
36,73,203,130,1062,1192
36,76,0,54,1062,1192
36,54,0,0,1062,1192
36,88,238,150,1062,1192
36,59,0,91,1062,1192
36,49,0,42,1062,1192
36,42,0,0,1062,1192
36,54,54,0,1062,1192
37,11,79,68,2228,2379
37,6,0,62,2228,2379
37,44,0,18,2228,2379
